一,,001,,1,0,1,+10000+,/yi1*,1イツ1イチ1はじめ1ひと1ひとつ1,
丁(1),,001,,1,1,2,+10200+,/ding1*,1テイ1チヤウ1(1チョウ1)1あたる1ひのと1わかもの1,
丁(2),,001,,1,1,2,+10200+,/zheng1*,1タウ1(1トウ1),
七,,001,,1,1,2,+40710+,/qi1*,1シツ1シチ1なな1ななつ1なの1,
万(1),萬,001,463,1,2,3,+10227+,/wan4*,1バン1マン1よろづ1(1よろず1),
万(2),,001,,1,2,3,+10227+,/mo4*,1ボク1,
丈,,001,,1,2,3,+50000+,/zhang4*,1チヤウ1(1チョウ1)1ヂヤウ1(1ジョウ1)1たけ1,
三(1),,001,,1,2,3,+10101+,/san1*,1サン1み1みつつ1(1みっつ1)1みつ1,
三(2),,001,,1,2,3,+10101+,/san4,1サン1,
上(1),,001,,1,2,3,+21100+,/shang4*,1シヤウ1(1ショウ1)1ジヤウ1(1ジョウ1)1うへ1(1うえ1)1うは1(1うわ1)1 かみ1のぼる1,
上(2),,001,,1,2,3,+21100+,/shang3*,1シヤウ1(1ショウ1)1ジヤウ1(1ジョウ1)1あがる1あげる1たてまつる1,
下(1),,002,,1,2,3,+10230+,/xia3,1カ1ゲ1した1しも1,
下(2),,002,,1,2,3,+10230+,/xia4*,1カ1ゲ1おりる1おろす1くださる1くだす1くだる1さがる1,
丌,,002,,1,2,3,+10220+,/qi1,1キ1,
与(1),與,003,443,1,2,3,+21407+,/yu3*,1ヨ1あたへる1(1あたえる1)1くみする1ともに1と1より1,
与(2),與,003,443,1,2,3,+21407+,/yu4*,1ヨ1あづかる1(1あずかる1),
与(3),與,003,443,1,2,3,+21407+,/yu1/yu2*,1ヨ1か1,
亏,虧,,482,1,2,3,+10027+,/kui1*,1キ1かける1かく1,
不(1),,002,,1,3,4,+10900+,/fu4/bu4*,1ホツ1ホチ1ず1,
不(2),,002,,1,3,4,+10900+,/fu3,1フウ1フ1,
不(3),,002,,1,3,4,+10900+,/fu3,1フウ1フ1,
丐,,002,,1,3,4,+10207+,/gai4*,1カイ1ガイ1こふ1(1こう1),
丑,,002,,1,3,4,+17105+,/chou3*,1チウ1(1チュウ1)1チユ1(1チュ1)1うし1,
